FREQ,Frequenza,REF_AREA,Territorio,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2020,233.856,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2021,237.36,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2022,243.209,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2023,245.358,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2024,250.355,,
A,Annuale,ITD2,Provincia Autonoma Trento,9,Totale,Y15-89,15-89 anni,2025,254.023,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2018,62.829,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2019,68.621,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2020,66.481,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2021,66.583,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2022,75.389,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2023,81.787,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2024,72.66,,
A,Annuale,ITD3,Veneto,1,Maschi,Y15-24,15-24 anni,2025,63.555,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2018,207.024,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2019,209.588,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2020,202.472,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2021,207.697,,
A,Annuale,ITD3,Veneto,1,Maschi,Y25-34,25-34 anni,2022,219.55,,
