FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,34.565,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,35.679,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,33.903,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,97.926,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,90.081,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,109.336,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,102.414,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,83.926,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,67.393,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,56.362,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,55.274,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,103.418,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,96.819,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,117.639,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,112.874,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2022,90.615,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2023,69.5,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2024,58.861,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2025,56.693,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2018,146.439,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2019,135.965,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2020,160.77,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2021,154.153,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2022,129.332,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2023,102.402,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2024,92.487,,
A,Annuale,ITC1,Piemonte,NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-34,15-34 anni,2025,85.074,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2018,1.629,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2019,1.463,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2020,1.704,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2021,1.893,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2022,1.821,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2023,1.001,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2024,1.008,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-24,15-24 anni,2025,0.804,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2018,2.637,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2019,2.379,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2020,2.873,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2021,2.949,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2022,2.49,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2023,1.726,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2024,1.773,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y18-29,18-29 anni,2025,1.421,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2018,2.843,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2019,2.579,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2020,3.01,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',NEET,Giovani Neet di 15-34 anni (non occupati e non in istruzione),Y15-29,15-29 anni,2021,3.162,,
